is_gdbr,text
true," Cookies & Datenschutz  Wir verwenden Cookies nur für personalisierte Inhalte. Es findet keinerlei        Datensammlung oder Analyse zum Nutzungsverhalten des Benutzers statt. Lediglich die favorisierte Suche des        Benutzers bleibt für die Zeit der Sitzung gespeichert. Wenn Sie diesen Service wünschen, erklären Sie durch        drücken des Buttons -Einverstanden- Ihr Einverständnis.  Einverstanden  Datenschutz   "
true,"   Hallo! Wir würden gerne einige zusätzliche Dienste für Statistiken & Usability aktivieren? Sie können Ihre Zustimmung jederzeit ändern oder zurückziehen. Vielen Dank, Ihr Team von AS-DESIGN.   zur Auswahl...   Ich lehne ab  Das ist ok      "
true,"    Cookie-Zustimmung verwalten          Wir verwenden Cookies, um unsere Website und unseren                Service zu optimieren.       Funktional     Funktional  Immer aktiv        Der Zugriff oder die technische Speicherung ist unbedingt für den rechtmäßigen Zweck erforderlich, um die Nutzung eines bestimmten Dienstes zu ermöglichen, der vom Abonnenten oder Nutzer ausdrücklich angefordert wurde, oder für den alleinigen Zweck der Übertragung einer Nachricht über ein elektronisches Kommunikationsnetz.       Vorlieben    Vorlieben         Die technische Speicherung oder der Zugriff ist für den rechtmäßigen Zweck der Speicherung von Voreinstellungen erforderlich, die nicht vom Abonnenten oder Nutzer beantragt wurden.       Statistiken    Statistiken         Die technische Speicherung oder der Zugriff, der ausschließlich zu statistischen Zwecken erfolgt.  Die technische Speicherung oder der Zugriff, der ausschließlich zu anonymen statistischen Zwecken verwendet wird. Ohne eine Aufforderung, die freiwillige Zustimmung Ihres Internetdienstanbieters oder zusätzliche Aufzeichnungen von Dritten können die zu diesem Zweck gespeicherten oder abgerufenen Informationen allein in der Regel nicht zu Ihrer Identifizierung verwendet werden.       Marketing    Marketing         Die technische Speicherung oder der Zugriff ist erforderlich, um Nutzerprofile zu erstellen, um Werbung zu versenden oder um den Nutzer auf einer Website oder über mehrere Websites hinweg zu ähnlichen Marketingzwecken zu verfolgen.       Optionen verwalten  Dienste verwalten  Anbieter verwalten  Lesen Sie mehr über                diese Zwecke     Alle akzeptieren  Alle ablehnen  Einstellungen  Einstellungen speichern  Einstellungen    Cookie-Richtlinie  Datenschutzerklärung  Impressum   "
false,    Hammoud Production  Programmierung und Betreuung webbasierter Individualsoftware   Hammoud Production Alte Schulstrasse 4 95473 Creussen Deutschland info hammoud-production.de        impressum      Hammoud Production X ▲ ▼   
false,"         Menu     Startseite Leistungen Referenzen Preise  Projekt anfragen      Individuell und aus einer Hand: Frische Websites und Web­anwendungen Wir sind go4u.de Webdesign aus Forchheim, eine Web-Agentur mit frischen Ideen. Individuelle Webseiten und Web­anwendungen sind genau unser Ding. Jetzt anfragen  Unsere Leistungen im Überblick  Web­design Mit einem individuell gestalteten Internetauftritt hebst Du Dich positiv von der Konkurrenz ab. Wir präsentieren Dich und Dein Projekt professionell im Web. Web­entwicklung Die Anforderungen an Deine Webseite oder Software lassen sich nicht durch eine Standard-Lösung abdecken? Wir entwickeln für Dich maßgeschneiderte Software und Schnittstellen. Betreu­ung Unser Service endet nicht mit der Fertigstellung eines Projekts. Auch danach kümmern wir uns um den Betrieb und die Pflege Deiner Webseiten und Web-Applikationen. alle Leistungen entdecken  Zufriedene Kunden Sonja Gagel Eigentlich braucht solch ein Unternehmen keine Empfehlungen! Einmal go4u – immer go4u! Zuverlässig, perfekte Umsetzung und immer den kleinen Step weiter gedacht – yes – goforme! Dr. med. Dominik Tinkl Herr Scholz arbeitet sehr professionell. Er ist kreativ, zuverlässig, pünktlich und geht geduldig auf Kundenwünsche ein. Ein Fachmann auf seinem Gebiet und ganz klar weiterzuempfehlen! Dr. Isabel Knoke Mit go4u habe ich einen zuverlässigen Partner für die Erstellung und Umsetzung meiner Homepage gefunden. Ich habe mich gut beraten gefühlt und danke Herrn Scholz für die zügige und gute Umsetzung. Die Homepage ist sehr ansprechend gestaltet und funktioniert gut auf verschiedenen Geräten. Andreas Renk Bereits seit vielen Jahren greifen wir - nicht zuletzt aufgrund der zuverlässigen Arbeitsweise - auf die Expertise von Dominik Scholz zurück. Als langjährigen Partner für Webentwicklung haben wir vor allem von seinem Ideenreichtum profitiert. Alina Bruckelt Meine Website wurde von go4u.de neu gestaltet. Das edle Design hat großen Anklang bei meinen Kunden gefunden. Die schnelle und professionelle Umsetzung der Homepage hat mich sehr überzeugt. Dank Responsive Webdesign ist meine Website auch auf Smartphones gut lesbar. Olaf Kahnt Mit der Gestaltung unserer Homepage und der Unterstützung sind wir sehr zufrieden. goCMS lässt sich sehr gut bedienen und ist angenehm schlank. Die Zusammenarbeit war sehr fix und auf den Punkt. Super! Julia Schmiedel Mit go4u.de Webdesign haben wir von Tocologo bereits 17 Websites umgesetzt und sind sehr zufrieden. Pixelgenaue Umsetzung, Feingefühl für Gestaltung und immer gute Ideen im Bezug auf Usability. Henry Miersbe Die Umsetzung meiner Homepage für eine Agentur der Vermittlung osteuropäischer Pflegekräfte lief einwandfrei. Die regelmäßige Pflege meiner Website durch go4u.de Webdesign erleichtert meine Arbeit wesentlich.  Aktuelle Referenzen Vermögensmakler Franken Rebranding und Website-Relaunch mit goCMS Erden Schweisstechnik Übersichtliche Website mit Wiedererkennungswert SR Malereiunternehmen Website mit reduziertem Design und klaren Strukturen  Nutze jetzt unser Know-How und lassen Dich kostenlos beraten. 09191 / 97 98 370  Kostenlos anfragen     So erreichst Du uns   Telefon: 09191 / 97 98 370  Mobil: 0171 / 210 98 48  E-Mail:  info @ go4u.de     Unsere Skills  HTML5, CSS3, JavaScript, PHP, MySQL gepaart mit einem guten Geschmack für Webdesign   powered by goCMS - 18.47 msec to render    SocialMedia & Co   Facebook  Twitter  Xing  LinkedIn   WhatsApp          Impressum Datenschutz AGB Webdesign Forchheim Nützliches   made with Love and Limes by go4u.de Webdesign / Dominik Scholz             "
false,"       Navigation   Home Lösungen Service Kontakt Impressum Datenschutzerklärung                  Unsere Kunden vertrauen uns seit Jahren die Planung, Beschaffung, Implementierung und Wartung komplexer Netzwerke an. Sie bekommen kompletten Service aus einer Hand. Auf unserer Homepage möchten wir Ihnen unser Unternehmen, unsere Produkte und Dienstleistungen vorstellen.  Ihr i-bitsa Team              "
true,"   Close      x  Unbedingt erforderlich  Unbedingt erforderliche Cookies ermöglichen grundlegende Funktionen und sind für die einwandfreie                    Funktion der Website erforderlich. Daher kann man sie nicht deaktivieren. Diese Art von Cookies wird                    ausschließlich von dem Betreiber der Website verwendet (First-Party-Cookie) und sämtliche                    Informationen, die in den Cookies gespeichert sind, werden nur an diese Website gesendet.           Alle zulassen             cookielaw   Cookielaw                                Dieses Cookie zeigt das Cookie-Banner an und speichert die Cookie-Einstellungen des                                Besuchers.                                Anbieter:                                Jimdo GmbH, Stresemannstrasse 375, 22761 Hamburg, Deutschland.                                Cookie-Name: ckies_cookielaw                                Cookie-Laufzeit: 1 Jahr                                Cookie-Richtlinie:                                https://www.jimdo.com/de/info/cookies/policy/                                Datenschutzerklärung:                                https://www.jimdo.com/de/info/datenschutzerklaerung/            ckies_*   Jimdo Control Cookies                                Steuerungs-Cookies zur Aktivierung der vom Website-Besucher ausgewählten Dienste/Cookies                                und zur Speicherung der entsprechenden Cookie-Einstellungen.                                Anbieter:                                Jimdo GmbH, Stresemannstraße 375, 22761 Hamburg, Deutschland.                                Cookie-Namen: ckies_*, ckies_postfinance, ckies_stripe, ckies_powr, ckies_google,                                ckies_cookielaw, ckies_ga, ckies_jimdo_analytics, ckies_fb_analytics, ckies_fr                                Cookie-Laufzeit: 1 Jahr                                Cookie-Richtlinie:                                https://www.jimdo.com/de/info/cookies/policy/                                Datenschutzerklärung:                                https://www.jimdo.com/de/info/datenschutzerklaerung/         x  Funktionell  Funktionelle Cookies ermöglichen dieser Website, bestimmte Funktionen zur Verfügung zu stellen und                    Informationen zu speichern, die vom Nutzer eingegeben wurden – beispielsweise bereits registrierte                    Namen oder die Sprachauswahl. Damit werden verbesserte und personalisierte Funktionen                    gewährleistet.           Alle zulassen             Google Maps   Die Aktivierung und Speicherung dieser Einstellung schaltet die                                Anzeige der Google Maps frei.                                Anbieter: Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA oder                                Google Ireland Limited, Gordon House, Barrow Street, Dublin 4, Irland, wenn Sie in der                                EU ansässig sind.                                Cookie Name und Laufzeit: google_maps ( Laufzeit: 1 Jahr)                                Cookie Richtlinie: https://policies.google.com/technologies/cookies                                Datenschutzerklärung: https://policies.google.com/privacy            cookie-settings.cookie.youtube.title   cookie-settings.cookie.youtube.description            Dailymotion   Wenn du diese Einstellung aktivierst und speicherst, wird das Anzeige                                von Dailymotion-Videoinhalten auf dieser Website aktiviert.                                Anbieter: Dailymotion, 140 boulevard Malesherbes, 75017 Paris, Frankreich                                Cookie-Name und -Lebensdauer: dailymotion_consent (Lebensdauer: 1 Jahr).                                Cookie-Richtlinie: https://legal.dailymotion.com/en/cookie-policy/                                Datenschutzrichtlinie: https://legal.dailymotion.com/en/privacy-policy/                                Wenn du dem Laden und Anzeigen von Dailymotion-Inhalten zustimmst, werden vom                                Dienstanbieter Dailymotion zusätzliche Cookies gesetzt. Sie registrieren anonyme                                statistische Daten, z. B. wie oft das Video angezeigt wird und welche Einstellungen für                                die Wiedergabe verwendet werden. Es werden keine sensiblen Informationen gesammelt, es                                sei denn, der/die Nutzer*in meldet sich bei seinem Dailymotion-Konto an. In diesem Fall                                wird die Auswahl des/der Nutzer*in mit seinem/ihrem Konto verknüpft, z. B. wenn er/sie                                bei einem Video auf ""Gefällt mir"" klickt. Weitere Informationen findest du in der                                Datenschutzrichtlinie von Dailymotion.                                Cookie-Namen und -Lebensdauer: ts (Lebensdauer: 13 Monate), usprivacy (Lebensdauer: 13                                Monate), dmvk (Lebensdauer: Sitzung), v1st (Lebensdauer: 13 Monate)            Vimeo   Wenn du diese Einstellung aktivierst und speicherst, wird das                                Anzeigen von Vimeo-Videoinhalten auf dieser Website aktiviert.                                Anbieter: Vimeo, Inc., 555 West 18th Street, New York, New York 10011, USA                                Cookie-Name und -Lebensdauer: vimeo_consent (Lebensdauer: 1 Jahr).                                Cookie-Richtlinie: https://vimeo.com/cookie_policy                                Datenschutzrichtlinie: https://vimeo.com/privacy                                Wenn du dem Laden und Anzeigen von Vimeo-Inhalten zustimmst, werden zusätzliche Cookies                                vom Dienstanbieter Vimeo gesetzt. Der einbettbare Videoplayer von Vimeo verwendet                                Cookies von Erstanbietern, die als wesentlich für das Erlebnis des Videoplayers                                angesehen werden. Vimeo verwendet keine Analyse- oder Werbe-Cookies von Drittanbietern,                                wenn der Videoplayer auf einer Website von Drittanbietern erscheint, es sei denn,                                der/die Website-Besucher*in ist bei seinem/ihrem Vimeo-Konto angemeldet. Weitere                                Informationen findest du in der Datenschutzrichtlinie von Vimeo.                                Cookie-Namen und -Laufzeiten: __cf_bm (Lebenszeit: 1 Tag), player (Lebenszeit: 1 Jahr),                                vuid (Lebenszeit: 2 Jahre)         x  Performance  Die Performance-Cookies sammeln Informationen darüber, wie diese Website genutzt wird. Der Betreiber                    der Website nutzt diese Cookies um die Attraktivität, den Inhalt und die Funktionalität der Website                    zu verbessern.           Alle zulassen             jimdo_analytics   Jimdo Statistics                                Die sog. Jimdo Statistikfunktion ist eine Tracking-Technologie, basierend auf Google                                Analytics, welche von der Jimdo GmbH betrieben wird.                                Anbieter:                                Jimdo GmbH, Stresemannstrasse 375, 22761 Hamburg, Deutschland.                                Cookie-Namen und Laufzeiten:                                ckies_jimdo_analytics (Laufzeit: 2 Jahre), __utma (Laufzeit: 2 Jahre), __utmb (Laufzeit:                                30 Minuten), __utmc (Laufzeit: Sitzung), __utmz (Laufzeit: 6 Monate), __utmt_b                                (Laufzeit: 1 Tag), __utm[unique ID] (Laufzeit: 2 Jahre), __ga (Laufzeit: 2 Jahre), __gat                                (Laufzeit: 1 Min), __gid (Laufzeit: 24 Stunden), __ga_disable_* (Laufzeit: 100 Jahre).                                Cookie-Richtlinie:                                https://www.jimdo.com/de/info/cookies/policy/                                Datenschutzerklärung:                                https://www.jimdo.com/de/info/datenschutzerklaerung/         x  Marketing / Third Party  Marketing- / Third Party-Cookies stammen unter anderem von externen Werbeunternehmen und werden                    verwendet, um Informationen über die vom Nutzer besuchten Websites zu sammeln, um z. B.                    zielgruppenorientierte Werbung für den Benutzer zu erstellen.      Keine Cookies in dieser Kategorie          x  Cookie-Richtlinie  Cookies werden zur Benutzerführung und Webanalyse verwendet und helfen dabei, diese Webseite zu                    verbessern. Durch die weitere Nutzung dieser Webseite erklären Sie sich mit unserer                    Cookie-Richtlinie einverstanden. Es gelten unsere Datenschutzrichtlinien.   Impressum  Datenschutzerklärung            Unbedingt erforderlich            Funktionell            Performance            Marketing / Third Party          Alle akzeptieren  Nur Auswahl akzeptieren  Alle ablehnen    Speichern und zurück    "
false,"     Home    Ausbildungsmanagement    Anwendungsentwicklung    Service & Kontakt    Impressum                   Ausbildungs​management    Wünschen Sie sich manchmal eine Unterstützung bei der Planung und Verwaltung für                     die Berufsausbildung Ihres Unternehmens? Das Management der Auszubildenden ist                     ja auch ein regelmässig wiederkehrendes, arbeitsaufwändiges Problem, das sich                     gut per Rechner unterstützen läßt.    Wir bieten Ihnen dafür unsere Software IAP - Integrierte Ausbildungsplanung an. Je nach dem wie in Ihrem Hause die Ausbildung organisiert ist, finden Sie                     hier im jedem Fall eine passende Lösung. Planen Sie primär die Ausbildung von Personen in Abteilungen (wohl der                     Standardfall), so werden Sie eher auf die Versetzungsplanung für  Abteilungen zurückgreifen.  Wenn Sie bei der Ausbildungsplanung Gruppen und nicht einzelne Personen                     verplanen, dazu verschiedene Räume und/oder Ausbilder berücksichtigen müssen, so                     benötigen Sie das Add-On Kurs- und Lehrwerkstatt-Planung . Dies trifft vor                     allem auf Unternehmen mit eigenen Lehrwerkstätten, Gewerbeakademien oder                     betriebliche Ausbildungszentren zu. [mehr...]             Anwendungs​entwicklung     Unser Name ist Programm: AlgoSys steht für Algorithmen- und Systementwicklung, und so stehen wir Ihnen gerne zur Verfügung,                     wenn Sie eine IT-technische Unterstützung für komplexe Probleme suchen. Wir erstellen in enger Zusammenarbeit mit unseren Auftraggebern maßgeschneiderte Anwendungen: Ob eine einfache Desktop-Lösung oder eine komplexe Datenbankanwendung, wir können Ihnen                     sicher weiterhelfen. Fragen Sie ruhig nach, oft sind die Kosten der Programmentwicklung gar nicht so                     gewaltig und amortisieren sich meist relativ schnell durch erzielte                     Einsparungen. [mehr...]            Bitte entschuldigen Sie ...                    die Seiten werden derzeit überarbeitet.     "
true," Diese Website benutzt Cookies, die für den technischen Betrieb der Website erforderlich sind und stets gesetzt werden. Andere Cookies, die den Komfort bei Benutzung dieser Website erhöhen,                der Direktwerbung dienen oder die Interaktion mit anderen Websites und sozialen Netzwerken vereinfachen sollen, werden nur mit Ihrer Zustimmung gesetzt. Mehr Informationen    alle akzeptieren  ablehnen  konfigurieren  "
false,"      TICKTOO Systems | Schöne Dinge. Für das Internet und darüber hinaus.  Menu   Kundenlogin    Startseite  Blog   TICKTOO Labs    Hosting   Serverbetreuung   Kontakt          Schöne Dinge. Für das Internet und darüber hinaus .       Über uns  Hallo, wir sind TICKTOO. Eine kleine, im schönen Bamberg ansässige Agentur mit Fokus auf das große Ganze, die kleinen Details und vor allem der Technik unter der Oberfläche.  Die TICKTOO Systems GmbH realisiert auf Basis eines firmeneigenen Web Application Frameworks branchenübergreifende Softwarelösungen mit den Schwerpunkten Schnittstellen-, Dokumenten- und Medienmanagement. Neben einer weitreichenden Expertise im Bereich Interface Design und User Experience, entwirft und betreibt die TICKTOO Systems GmbH zudem Hochverfügbarkeits-Server Cluster sowie Encoding-, Streaming- und Storage Services.  Unsere Leistungen      Design   Logo Design, Branding, Positioning, Print Design, Packaging, Editorial Design, Signage, Web Design        Entwicklung   CMS, Blogs, Databases, CRM Systems, Communities, Mobile, Middleware, Web Services, Process Management        Betrieb   Backup, Storage, Monitoring, High Performance / High Availability, Clustering, Analytics, Hosting, Mail          Blog / 20.07.2020  EU-US-Privacy Shield demontiert   Der EUGH hat das Privacy-Shield-Abkommen für unzureichend erklärt. Damit ist nach dem 2015 für ungültig erklärte Safe-Harbor-Abkommen mit den USA das selbe Abkommen mit neuem Namen erneut für unzureichend erklärt worden. Was ist jetzt zu tun?  Vollständigen Artikel anzeigen      Unsere Freunde und Auftraggeber. Eine Auswahl.                                                  Kundenmenu  Cloud  Webmail  Analytics       Sharing is Caring  Facebook | Twitter | Google | LinkedIn          TICKTOO Systems GmbH   Kronacher Str. 41  96052  Bamberg  Germany  Planet Erde   +49 951 65470001  office@ticktoo.com  https://ticktoo.com        Sebastian Kraus kraus@ticktoo.com [0xE6D9B0AA]    Pedro Stoehr stoehr@ticktoo.com [0x9B092A26]       ticktoo auf github  ticktoo bei Facebook  ticktoo auf Twitter     © 2016. TICKTOO Systems GmbH. Einige Rechte vorbehalten. Impressum | Datenschutz | AGB   "
